ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Benzi,Sagart_ID
Bantawa-299_theblood-1,33871,Bantawa,299_theblood,hɨ,hɨ,h ɨ,,Jongens2009,,,^h ɨ$,default,,33871
Bantawa-300_thebodyhairhairorfur-1,33873,Bantawa,300_thebodyhairhairorfur,mɨwa,mɨwa,m ɨ w a,,Jongens2009,,,^m ɨ w a$,default,,33873
Bantawa-18_thebone-1,33874,Bantawa,18_thebone,yɨwa,yɨwa,y ɨ w a,,Jongens2009,,,^y ɨ w a$,default,,33874
Bantawa-301_thebranch-1,33875,Bantawa,301_thebranch,kusi,kusi,k u s i,,Jongens2009,,,^k u s i$,default,,33875
Bantawa-302_thebreastfemale-1,33876,Bantawa,302_thebreastfemale,duda,duda,d u d a,,Jongens2009,,,^d u d a$,default,,33876
Bantawa-24_thechildyounghuman-1,33880,Bantawa,24_thechildyounghuman,cʰa,cʰa,cʰ a,,Jongens2009,,,^cʰ a$,default,,33880
Bantawa-25_thecloud-1,33881,Bantawa,25_thecloud,tʰakri,tʰakri,tʰ a k r i,,Jongens2009,,,^tʰ a k r i$,default,,33881
Bantawa-32_thedaughter-1,33886,Bantawa,32_thedaughter,meccʰacʰa,meccʰacʰa,m e c cʰ a cʰ a,,Jongens2009,,,^m e c cʰ a cʰ a$,default,,33886
Bantawa-306_thedew-1,33887,Bantawa,306_thedew,wacʰok,wacʰok,w a cʰ o k,,Jongens2009,,,^w a cʰ o k$,default,,33887
Bantawa-37_thedog-1,33890,Bantawa,37_thedog,kutiwa,kutiwa,k u t i w a,,Jongens2009,,,^k u t i w a$,default,,33890
Bantawa-307_thedream-1,33891,Bantawa,307_thedream,senmaŋ,senmaŋ,s e n m a ŋ,,Jongens2009,,,^s e n m a ŋ$,default,,33891
Bantawa-42_theear-1,33895,Bantawa,42_theear,nabak,nabak,n a b a k,,Jongens2009,,,^n a b a k$,default,,33895
